Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
2,ii-svd-log,79401,1.613,5,5,1.0,0.9735759171105955,12.90015721397125,0.05839320606981101,0.043478260869565216,23,0.043478260869565216
1,lucene-log,38159,0.902,5,5,1.0,0.959670769059917,14.73134016304077,0.0,0.0,,0.0
2,ii-log,57387,0.687,5,5,1.0,0.8343396294304246,10.365495493007945,0.3622140721559844,1.0,1,1.0
1,lucene-log,39061,0.341,5,5,1.0,0.9428099561799305,11.284945532683583,0.0,0.0,,0.0
1,lucene-log,42015,0.128,5,5,1.0,0.969609813875519,12.881213565291738,0.10725138051388539,0.14285714285714285,7,0.14285714285714285
2,ii-svd-log,80874,0.985,5,5,1.0,0.9953209626199728,14.7464252465794,0.07683386559923851,0.047619047619047616,21,0.047619047619047616
1,lucene-log,43068,0.609,5,5,1.0,0.9759049960590634,14.180960369793672,0.0,0.0,,0.0
2,ii-log,59269,1.301,5,5,1.0,0.995198787644136,13.569607253646886,0.24663406453542977,0.24285714285714285,5,0.2
1,lucene-log,44086,0.441,5,5,1.0,0.9111591258726867,13.531086967542706,0.09121868979621849,0.1,10,0.1
1,lucene-log,45153,0.16,5,5,1.0,0.9844352066861466,15.81189012336513,0.19640582419800265,0.3333333333333333,3,0.3333333333333333
2,ii-svd-log,80946,1.283,5,5,1.0,0.9555433989733275,12.154015779112127,0.11160769719615346,0.1111111111111111,9,0.1111111111111111
1,lucene-log,45182,0.303,5,5,1.0,0.8915314822214825,13.877355000150859,0.06424361718870712,0.125,8,0.125
2,ii-svd-log,83416,0.314,5,5,1.0,0.9430311400250742,14.646298648830369,0.0,0.0,,0.0
1,lucene-log,45371,0.136,5,5,1.0,0.9646307204528896,15.527228402401827,0.4770689375749318,0.6031746031746031,1,1.0
2,ii-log,59424,0.862,5,5,1.0,0.9175682756710981,11.138297706828334,0.08061683463023271,0.058823529411764705,17,0.058823529411764705
2,ii-svd-log,83697,0.507,5,5,1.0,0.9088423267872815,12.846551844328435,0.14149202646755707,0.5,2,0.5
2,ii-svd-log,84598,0.3,5,5,1.0,0.9721474944027754,12.769227460399792,0.06933201323484608,0.047619047619047616,21,0.047619047619047616
2,ii-log,60710,0.805,5,5,1.0,0.9672055988091431,12.815748688506009,0.0,0.0,,0.0
1,lucene-log,45619,1.2,5,5,1.0,0.9862958337928599,13.281086967542706,0.0,0.0,,0.0
2,ii-svd-log,85391,0.562,5,5,1.0,0.9541057441623441,12.869987046893984,0.07111318792806835,0.05555555555555555,18,0.05555555555555555
2,ii-log,61305,1.1500000000000001,5,5,1.0,0.9661729884210861,14.281086967542706,0.3666356462505213,0.3214285714285714,2,0.5
1,lucene-log,45669,1.051,5,5,1.0,0.9182609924681406,11.800030616222216,0.0,0.0,,0.0
2,ii-svd-log,86156,1.072,5,5,1.0,0.938165593011533,12.430960369793672,0.06315554057892622,0.08333333333333333,12,0.08333333333333333
1,lucene-log,45854,0.278,5,5,1.0,1.0,15.81189012336513,0.11009674485297696,0.16666666666666666,6,0.16666666666666666
2,ii-log,63018,0.52,5,5,1.0,0.8322735404907438,9.715622090756977,0.10808385688755474,0.2159090909090909,4,0.25
1,lucene-log,46392,0.405,5,5,1.0,0.988220567325965,15.48134016304077,0.0816928579261666,0.06666666666666667,15,0.06666666666666667
2,ii-svd-log,86204,0.718,5,5,1.0,0.9557750994101896,14.877355000150859,0.0,0.0,,0.0
1,lucene-log,46403,0.281,5,5,1.0,0.9401776007466898,11.550030616222216,0.0,0.0,,0.0
2,ii-svd-log,86309,0.251,5,5,1.0,0.9954159738026584,14.215622090756977,0.17671757199025565,0.3333333333333333,3,0.3333333333333333
2,ii-log,63615,0.753,5,5,1.0,0.9565080044574634,14.377355000150859,0.0,0.0,,0.0
2,ii-log,65648,0.262,5,5,1.0,0.9673065239479468,10.919733851395918,0.41284784298823923,0.41666666666666663,2,0.5
1,lucene-log,47150,0.66,5,5,1.0,0.9451947443684912,12.934818934934553,0.07808810378894335,0.14285714285714285,7,0.14285714285714285
2,ii-log,65874,0.501,5,5,1.0,0.9961777591002725,17.06189012336513,0.11293419422646817,0.16666666666666666,6,0.16666666666666666
1,lucene-log,47953,1.006,5,5,1.0,0.98285508189165,12.565748688506009,0.17039671537836054,0.11142857142857143,7,0.14285714285714285
2,ii-log,66281,0.775,5,5,1.0,0.8507342841059836,10.696678442077467,0.03976628299675976,0.25,4,0.25
2,ii-svd-log,88738,1.75,5,5,1.0,0.9777506654877127,14.553889181363095,0.5038605076468664,0.75,1,1.0
1,lucene-log,48512,0.508,5,5,1.0,0.9503487662822221,12.15015721397125,0.0,0.0,,0.0
2,ii-svd-log,89274,0.40800000000000003,5,5,1.0,0.9624668585360691,14.50028381172028,0.0,0.0,,0.0
1,lucene-log,49455,0.35000000000000003,5,5,1.0,1.0,10.823465818787767,0.08493336497025465,0.07142857142857142,14,0.07142857142857142
1,lucene-log,50019,0.196,5,5,1.0,0.9518227850305006,13.83469233718552,0.3439985370950923,1.0,1,1.0
1,lucene-log,51255,0.131,5,5,1.0,1.0,15.381213565291738,0.27469510011527104,0.1693121693121693,7,0.14285714285714285
2,ii-svd-log,89988,0.739,5,5,1.0,0.9842539845721401,11.534945532683583,0.0,0.0,,0.0
1,lucene-log,52208,0.295,5,5,1.0,0.9264802220086835,12.172959427791637,0.34249362480586415,0.5,2,0.5
2,ii-log,66362,1.616,5,5,1.0,0.964203179496467,11.704395572359223,0.0,0.0,,0.0
2,ii-svd-log,90216,0.897,5,5,1.0,0.9772275793693257,12.215622090756977,0.3199927345849216,1.0,1,1.0
1,lucene-log,52762,0.858,5,5,1.0,0.9333355194194052,9.803889181363095,0.0,0.0,,0.0
2,ii-log,67584,0.937,5,5,1.0,0.8949212731799433,7.858127539751069,0.0,0.0,,0.0
1,lucene-log,53407,0.612,5,5,1.0,0.8574379262688187,9.43867750007543,0.0,0.0,,0.0
2,ii-svd-log,92409,0.856,5,5,1.0,0.9280833823401793,11.865495493007945,0.08217462776536771,0.07142857142857142,14,0.07142857142857142
2,ii-svd-log,94333,0.263,5,5,1.0,0.8967845129037733,11.4964252465794,0.0,0.0,,0.0
