Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
2,ii-svd-blend,0.3,0.10300000000000001,301.759,173,865,865,1.0,0.7526136080631459,0.8515700950480298,0.9628092411422425,0.044853429315942044,0.06851123598461012,0.07925174587100355
2,lucene-svd-blend,0,0.019,193.09900000000002,173,865,865,1.0,0.7735029358161096,0.8788274342625793,0.9674440055634997,0.01846535737791211,0.019942053168261274,0.020103615657041655
2,ii-svd-blend,0.2,0.063,300.13800000000003,173,865,865,1.0,0.7544556279498744,0.853440714252568,0.9622679548307593,0.04584292343832107,0.07008045193351836,0.07945408578012061
2,ii-svd-blend,0.1,0.076,300.313,173,865,865,1.0,0.7571347439393686,0.8561644430911752,0.9607853832495489,0.0430333425491207,0.0661767994752619,0.07294711710162563
1,lucene-svd-blend,1.0,0.021,184.70600000000002,173,865,865,1.0,0.715436690971825,0.8129309199686607,0.9739636144911342,0.055044509933326866,0.08941287795611227,0.09360339841830902
1,ii-svd-blend,0.6,0.074,288.819,173,865,865,1.0,0.7030823345408619,0.7997364367127919,0.9733686865338688,0.05815830618146925,0.09074352010349294,0.10231777947323452
1,lucene-svd-blend,0.9,0.022,185.729,173,865,865,1.0,0.7089846157543512,0.8067045816606074,0.9730653829326125,0.058859668774970716,0.09113444602577175,0.09836666400245739
2,ii-svd-blend,0,0.083,301.052,173,865,865,1.0,0.7606257119618551,0.8597331733678635,0.96084152184289,0.03874688904785597,0.059539137031618845,0.06438373671730373
1,lucene-svd-blend,0.8,0.026000000000000002,186.001,173,865,865,1.0,0.7040154021699263,0.802019033450247,0.9731109928685832,0.06219391458198176,0.10667619352527621,0.11093866473924276
1,ii-svd-blend,1.0,0.07200000000000001,275.118,173,865,865,1.0,0.715436690971825,0.8129309199686607,0.9739636144911342,0.055044509933326866,0.08941287795611227,0.09360339841830902
1,ii-svd-blend,0.9,0.063,267.567,173,865,865,1.0,0.7111493285050472,0.8084525809351745,0.9733675538362312,0.05569088193258084,0.08710168612623018,0.09218157691117118
1,lucene-svd-blend,0.7,0.021,153.48,173,865,865,1.0,0.7005861168566271,0.7989013859506389,0.9741949952348465,0.06245055355715992,0.11472417577501583,0.1172572480335216
1,lucene-svd-blend,0.6,0.023,142.179,173,865,865,1.0,0.6987447618975092,0.7973700304402997,0.9739797236041663,0.06384760084344923,0.10254256006808297,0.10691685920286809
1,ii-svd-blend,0.8,0.10200000000000001,237.54,173,865,865,1.0,0.7076466374196528,0.8047538890088027,0.9732004643998218,0.057554998325994956,0.09228757396382978,0.09801492037036695
1,ii-svd-blend,0.7,0.07200000000000001,191.864,173,865,865,1.0,0.7049505363617056,0.801845633150942,0.97308072288096,0.05730151234928544,0.09085691497091379,0.09697048563612728
