Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,35259,0.078,5,5,1.0,0.7116209769574948,1.0,14.350410409469312,0.0,0.0,,0.0
5,lucene,,35613,0.07100000000000001,5,5,1.0,1.0353944877100862,0.8892039936138105,9.815748688506009,0.0,0.0,,0.0
5,lucene,,38256,0.023,5,5,1.0,0.4404341810940321,0.9842236972146419,15.596551844328435,0.0,0.0,,0.0
5,lucene,,39714,0.067,5,5,1.0,0.8989564123087987,0.9384910730490699,12.031086967542706,0.11700826478699528,0.125,8,0.125
5,lucene,,40618,0.096,5,5,1.0,0.7813500906533793,0.9438219517605217,12.600410409469312,0.0,0.0,,0.0
5,lucene,,41941,0.112,5,5,1.0,0.5122666056868622,1.0,14.531086967542706,0.06734542093504459,0.058823529411764705,17,0.058823529411764705
5,lucene,,43618,0.10300000000000001,5,5,1.0,0.3337945612323053,1.0,12.254142376861159,0.0,0.0,,0.0
5,lucene,,45015,0.088,5,5,1.0,0.6191049959297771,0.985063047955851,12.169733851395918,0.1394421827656483,0.2,5,0.2
5,lucene,,45537,0.062,5,5,1.0,0.9155471032317956,0.9320511084168158,8.922959427791637,0.0,0.0,,0.0
5,lucene,,46093,0.042,5,5,1.0,1.1092010504155232,0.9882735835686266,11.684818934934553,0.0,0.0,,0.0
5,lucene,,48410,0.097,5,5,1.0,0.47569768080355845,0.984951213366015,14.346551844328435,0.0,0.0,,0.0
5,lucene,,49830,0.088,5,5,1.0,0.6456648185669844,0.9737740122509047,15.430960369793672,0.0,0.0,,0.0
5,lucene,,53023,0.063,5,5,1.0,0.6976421037073799,0.9775003326464001,13.050030616222216,0.0,0.0,,0.0
5,lucene,,53819,0.029,5,5,1.0,0.36249975721207245,1.0,16.912016721114163,0.08246885934747145,0.08333333333333333,12,0.08333333333333333
5,lucene,,54437,0.084,5,5,1.0,0.8229863420237715,0.9389906483451513,13.677101804652795,0.0,0.0,,0.0
5,lucene,,54805,0.07100000000000001,5,5,1.0,0.3702298608876063,0.984936630069611,16.346551844328435,0.0,0.0,,0.0
5,lucene,,58166,0.094,5,5,1.0,0.8805778454326375,0.972810330300105,10.184818934934553,0.0,0.0,,0.0
5,lucene,,58346,0.099,5,5,1.0,1.0154926846458083,0.9406671345861026,14.877355000150859,0.11967749981320483,0.3333333333333333,3,0.3333333333333333
5,lucene,,58612,0.1,5,5,1.0,0.9085993819285327,0.9458520998073817,14.31189012336513,0.07131986439157664,0.05555555555555555,18,0.05555555555555555
5,lucene,,59812,0.083,5,4,0.8,0.2746347832294677,0.8944500543493124,12.77371901428583,0.0,0.0,,0.0
5,lucene,,60729,0.044,5,5,1.0,0.751839274987148,0.9928779287722987,14.4964252465794,0.0,0.0,,0.0
5,lucene,,61276,0.043000000000000003,5,5,1.0,0.841700206339259,0.9833405807130657,11.592409467467276,0.0,0.0,,0.0
5,lucene,,61400,0.025,5,4,0.8,1.1841649842937125,0.966449984598875,13.404648767857287,0.0,0.0,,0.0
5,lucene,,61755,0.04,5,5,1.0,0.5458810439602169,0.9672225770943947,15.777228402401827,0.0,0.0,,0.0
5,lucene,,62314,0.084,5,5,1.0,1.1494311932861407,0.9133359062583841,10.538804097824462,0.0,0.0,,0.0
5,lucene,,62716,0.073,5,5,1.0,0.4266473011389285,0.9661729884210861,14.281086967542706,0.0,0.0,,0.0
5,lucene,,63295,0.096,5,5,1.0,0.27879550880609105,1.0,14.7464252465794,0.0,0.0,,0.0
5,lucene,,64365,0.064,5,4,0.8,0.38831987972686843,0.8968573122116923,12.839183891071558,0.1080915334997861,0.16666666666666666,6,0.16666666666666666
5,lucene,,64655,0.088,5,5,1.0,0.3235031683684552,0.9863310189779813,13.315748688506009,0.0,0.0,,0.0
5,lucene,,66092,0.062,5,5,1.0,0.1243361326043833,1.0,16.31189012336513,0.06776183746506817,0.043478260869565216,23,0.043478260869565216
5,lucene,,67615,0.063,5,5,1.0,0.5475258718807372,0.9722008069687479,15.196678442077467,0.0,0.0,,0.0
5,lucene,,68905,0.04,5,5,1.0,0.8823001396195577,0.9921420224356429,16.531086967542706,0.0,0.0,,0.0
5,lucene,,69256,0.08,5,5,1.0,1.2161105527182785,0.9599101307994092,10.965622090756977,0.0,0.0,,0.0
5,lucene,,69374,0.038,5,5,1.0,0.39114208396351446,1.0,15.2464252465794,0.32794572623650065,1.0,1,1.0
5,lucene,,69498,0.064,5,5,1.0,0.619132897691472,0.9742815546108001,13.98134016304077,0.0,0.0,,0.0
5,lucene,,70939,0.043000000000000003,5,4,0.8,0.972429841203768,0.7861714043008602,12.654648767857287,0.0,0.0,,0.0
5,lucene,,71825,0.091,5,4,0.8,0.6190032909373473,0.9312559968102332,10.577324383928644,0.0,0.0,,0.0
5,lucene,,72633,0.023,5,5,1.0,0.9234599701878099,0.9600482734625705,13.680960369793672,0.0,0.0,,0.0
5,lucene,,74182,0.055,5,5,1.0,0.4822780008471731,0.9867864730969339,13.781086967542706,0.0,0.0,,0.0
5,lucene,,74849,0.09,5,4,0.8,1.03314407647639,0.8687949406845944,12.654648767857287,0.0,0.0,,0.0
5,lucene,,75422,0.084,5,5,1.0,0.6041007250250107,0.9618853887695398,15.242566681438523,0.0,0.0,,0.0
5,lucene,,78917,0.082,5,5,1.0,0.5580724572779325,0.9878322141168129,14.98134016304077,0.0,0.0,,0.0
5,lucene,,80080,0.042,5,3,0.6,0.5107095800645243,0.8365365598182968,10.392789260714373,0.0,0.0,,0.0
5,lucene,,80585,0.023,5,5,1.0,0.3351527526119894,1.0,17.37735500015086,0.14386539263186465,0.25,4,0.25
5,lucene,,82202,0.094,5,5,1.0,0.5730925256716349,0.9492180875031688,11.865495493007945,0.0,0.0,,0.0
5,lucene,,82880,0.093,5,5,1.0,0.373587475035692,1.0,13.135072130432615,0.0,0.0,,0.0
5,lucene,,83556,0.095,5,5,1.0,0.7417542617848173,0.973056090227105,13.896298648830369,0.0,0.0,,0.0
5,lucene,,85030,0.025,5,5,1.0,0.9032210248954247,0.9438219517605217,12.600410409469312,0.0,0.0,,0.0
5,lucene,,85242,0.041,5,5,1.0,0.5511585499882757,0.9848734467804857,16.27722840240183,0.0,0.0,,0.0
5,lucene,,85518,0.062,5,5,1.0,0.7251611792416062,0.92298713004793,12.031086967542706,0.0,0.0,,0.0
5,lucene,,85617,0.07100000000000001,5,5,1.0,0.5575720381278445,0.9976203268568917,14.531086967542706,0.0,0.0,,0.0
5,lucene,,86449,0.039,5,5,1.0,0.4915584691737868,1.0,16.412016721114163,0.0,0.0,,0.0
5,lucene,,86592,0.089,5,5,1.0,0.44964527899327666,1.0,11.969480655897856,0.0,0.0,,0.0
5,lucene,,86768,0.125,5,5,1.0,1.0073058083576816,0.9806035111907415,12.638930695573494,0.0,0.0,,0.0
5,lucene,,86784,0.054,5,5,1.0,0.6183999038240124,0.9734850725908146,12.9964252465794,0.0,0.0,,0.0
1,ii,,320,0.156,5,5,1.0,0.5830258459575657,1.0,14.069607253646886,0.3553759468803924,0.5,2,0.5
5,lucene,,87042,0.093,5,5,1.0,0.40664677613218236,0.9838193210984889,17.30803155822425,0.0,0.0,,0.0
5,lucene,,88266,0.067,5,5,1.0,0.7520835854935837,0.9239767846271547,12.9964252465794,0.0,0.0,,0.0
